,Well_Name,allprodmaxindex,allprodcum,allprodquarter,allprodhalf,allprodthreequarter,halfwaydays,threequarterdays,halfdaysdate,Cumsum_OilProd_Norm,Cumsum_OilProd_ERU
56,BRRU 34-8H,56545,275175.99999999994,1092.0,1979.0,2853.0,887.0,874.0,2012,0.0,275175.99999999994
57,BRRU 34-9 (Discovery Well),20426,647526.5862068962,7778.0,10833.0,12415.0,3055.0,1582.0,1990,135177.79310344817,512348.79310344823
58,BRRU 44-18H,116524,451504.5862068965,722.0,1226.0,1959.0,504.0,733.0,2015,0.0,451504.5862068965
59,BRRU State 14-9,21316,927054.206896552,1207.0,2268.0,3227.0,1061.0,959.0,2012,0.0,927054.206896552
60,Balcron 21-5 Nautilus Federal,12037,72728.72413793104,165.0,407.0,1027.0,242.0,620.0,1992,28416.06896551724,44312.6551724138
62,Berry 2-35 State,106455,1990.344827586207,59.0,269.0,469.0,210.0,200.0,2010,1990.344827586207,0.0
65,Bowers 1-5 BCJ Johnson,79185,35878.275862068964,812.0,1977.0,3889.0,1165.0,1912.0,1995,35878.275862068964,0.0
66,Bowers 2-30 BH Holcomb,79631,18076.551724137917,759.0,2425.0,6569.0,1666.0,4144.0,1992,18076.551724137917,0.0
67,Bowers 2-5 BCJ Johnson,81232,51821.379310344826,837.0,2001.0,4006.0,1164.0,2005.0,1995,51821.379310344826,0.0
68,Bowers 4-32 BH Holcomb,81670,23185.172413793094,518.0,1213.0,2595.0,695.0,1382.0,1988,23185.172413793094,0.0
69,Brown E-29H,113046,277579.20689655165,719.0,1962.0,3548.0,1243.0,1586.0,2011,0.0,277579.20689655165
70,Buckley D-32H,122479,142945.65517241383,405.0,1030.0,1977.0,625.0,947.0,2014,142945.65517241383,0.0
71,CBRRU 14-31NH,123840,153423.0,1083.0,1835.0,2187.0,752.0,352.0,2018,0.0,153423.0
72,CBRRU 24-31NH,121490,76600.0,276.0,535.0,1066.0,259.0,531.0,2013,0.0,76600.0
73,CBRRU 34-31H,113648,649720.0,1124.0,2197.0,3697.0,1073.0,1500.0,2012,0.0,649720.0
76,CRI 1-14H Graves,111845,129810.86206896552,891.0,2189.0,3744.0,1298.0,1555.0,2009,129810.86206896552,0.0
77,CRI 12-22H BRRU,109455,984629.0344827592,1699.0,3076.0,4828.0,1377.0,1752.0,2008,0.0,984629.0344827592
78,CRI 23-25H WBRRU,106580,79581.1379310345,325.0,572.0,915.0,247.0,343.0,1998,0.0,79581.1379310345
79,CRI 23-26H SBRRU,109028,260765.5862068966,729.0,1236.0,1908.0,507.0,672.0,2003,0.0,260765.5862068966
81,CRI 23-30H SBRRU,106629,55860.24137931036,325.0,601.0,947.0,276.0,346.0,1998,0.0,55860.24137931036
82,CRI 32-21H BRRU,110818,749784.0689655168,722.0,1636.0,2567.0,914.0,931.0,2005,0.0,749784.0689655168
83,CRI 32-4H SBRRU,110437,1467354.2413793097,2479.0,4064.0,5030.0,1585.0,966.0,2013,0.0,1467354.2413793097
84,CRI 41-27H SBRRU,107211,1080725.517241379,2071.0,3685.0,5920.0,1614.0,2235.0,2007,0.0,1080725.517241379
85,CRI 42-28H SBRRU,110679,561853.2413793108,1469.0,3150.0,4502.0,1681.0,1352.0,2010,0.0,561853.2413793108
86,CRI 44-22H BRRU,107500,352339.0344827586,2348.0,4852.0,6632.0,2504.0,1780.0,2010,0.0,352339.0344827586
87,Camel Creek N-15H,125415,133046.44827586206,539.0,1068.0,1572.0,529.0,504.0,2017,133046.44827586206,0.0
88,Cardinal Sun Clarkson 1 STATE,23736,18257.896551724138,306.0,785.0,1439.0,479.0,654.0,1962,18257.896551724138,0.0
89,Carla 1-35H,117019,42893.34482758619,304.0,689.0,1354.0,385.0,665.0,2016,33897.55172413793,8995.793103448275
